circuit_index,seed,compression_ratio,fidelity,robustness_class,total_gates,depth,entanglement_ratio,importance_entropy,importance_concentration
62,62042,0.08,0.9767226165683591,robust,877,84,0.3272519954389966,5.878404456867417,0.5429845076821329
63,63042,0.08,0.9804900733786506,robust,877,84,0.3272519954389966,5.782112695794787,0.5807528357514113
64,64042,0.08,0.9797303361900541,robust,877,84,0.3272519954389966,5.927460059403689,0.49563228289504463
65,65042,0.08,0.9779145641183626,robust,877,85,0.3272519954389966,5.984700818474998,0.4838334581567376
66,66042,0.08,0.9799217589800374,robust,877,84,0.3272519954389966,5.7717438599903925,0.5634569978315447
67,67042,0.08,0.9783021645702602,robust,877,84,0.3272519954389966,5.809382543226484,0.5466319616065972
68,68042,0.08,0.9801915328874975,robust,877,84,0.3272519954389966,5.6451909513200995,0.6053352648176759
69,69042,0.08,0.9807120873633032,robust,877,84,0.3272519954389966,5.803033782280419,0.5207167290808392
70,70042,0.08,0.9797446249375187,robust,877,84,0.3272519954389966,5.810869929413441,0.5618080892996911
71,71042,0.08,0.9797025130478926,robust,877,84,0.3272519954389966,5.8107282255977974,0.5455976821065461
72,72042,0.08,0.978928334454652,robust,877,84,0.3272519954389966,5.726066833326337,0.5644977854505246
73,73042,0.08,0.9798382103874388,robust,877,84,0.3272519954389966,5.736263400647194,0.575851230218566
74,74042,0.08,0.9791700890274193,robust,877,84,0.3272519954389966,5.6964010968262615,0.5916091998268774
75,75042,0.08,0.9794104038497309,robust,877,84,0.3272519954389966,5.7233528095410895,0.5913606671246087
76,76042,0.08,0.9799275219962805,robust,877,84,0.3272519954389966,5.766578185614337,0.5819640771625654
77,77042,0.08,0.976224755880422,robust,877,84,0.3272519954389966,5.834701894262247,0.5691124490876013
78,78042,0.08,0.5572613519541172,fragile,877,84,0.3272519954389966,5.869160245949615,0.5223776245304144
79,79042,0.08,0.9791198589641791,robust,877,84,0.3272519954389966,5.93804118998692,0.5115236633262007
80,80042,0.08,0.6964426857541391,fragile,877,84,0.3272519954389966,5.830338091901802,0.5522033126092893
81,81042,0.08,0.978105647987993,robust,877,84,0.3272519954389966,5.837691898390453,0.545750059452548
82,82042,0.08,0.9770834551946911,robust,877,84,0.3272519954389966,5.9080498401525245,0.5022975584993603
83,83042,0.08,0.7247075417655592,fragile,877,84,0.3272519954389966,5.915650084318722,0.5123678020745694
84,84042,0.08,0.9778006817071833,robust,877,84,0.3272519954389966,5.82883179906671,0.5546279463027113
85,85042,0.08,0.9767533990283563,robust,877,84,0.3272519954389966,5.829946646257413,0.5413847195853335
86,86042,0.08,0.9795237535966795,robust,877,84,0.3272519954389966,5.819395021899664,0.5626809617493006
87,87042,0.08,0.975151170123749,robust,877,85,0.3272519954389966,5.765686938588793,0.587597609702467
88,88042,0.08,0.6019310433493603,fragile,877,84,0.3272519954389966,5.894721805074902,0.5346401605040917
89,89042,0.08,0.6355736637099978,fragile,877,84,0.3272519954389966,5.767802324796797,0.555181224007721
90,90042,0.08,0.6371177195752257,fragile,877,84,0.3272519954389966,5.857674133866081,0.5185092744621594
91,91042,0.08,0.7801709690455844,fragile,877,84,0.3272519954389966,5.822734900735588,0.5838953809258205
92,92042,0.08,0.7383813439638607,fragile,877,84,0.3272519954389966,5.954769237350426,0.5147759413510667
93,93042,0.08,0.8940882094903093,fragile,877,84,0.3272519954389966,5.886751403146997,0.525842258073605
94,94042,0.08,0.9803798759390665,robust,877,84,0.3272519954389966,5.675407762269399,0.641255464974763
95,95042,0.08,0.9795113905687768,robust,877,85,0.3272519954389966,5.918756803999329,0.49418108706401975
96,96042,0.08,0.9794020240257637,robust,877,84,0.3272519954389966,5.893324682684856,0.5289453093151845
97,97042,0.08,0.9365078082089279,robust,877,84,0.3272519954389966,5.728721763167132,0.5843380870279823
98,98042,0.08,0.8186017898591602,fragile,877,84,0.3272519954389966,5.786869905898183,0.550495879813885
99,99042,0.08,0.9794063095064213,robust,877,84,0.3272519954389966,5.880264518016892,0.5300413677188316
